OBJECTID,NYCEM_ID,FACILITY_NAME,ADDRESS,BOROUGH,ZIP_CODE,PHONE,HANDICAP_ACCESS,EXTENDED_HOURS,STATUS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,X,Y,FACILITY_TYPE,Entrance_info
19,CC510,City Hall NSC,100 Gold St,Manhattan,10038,(212) 788-5580,Yes,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,983351.000146,197988.000071,Senior center,"Basement, pass security then take elev."
23,CC636,Two Bridges Community Center,286 South St.,Manhattan,10002,(212) 385-9352,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,10a-5p,,988071.611111,198252.89357,Cornerstone Program,
24,CC362,LaGuardia NSC,280 Cherry St,Manhattan,10002,(212) 732-3656,No,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,987408.999904,198534.999961,Senior center,
26,CC215,Chatham Square Library,33 East Broadway,Manhattan,10002,(212) 964-6598,Yes,No,OPEN,10a-8p,10a-8p,10a-8p,10a-8p,10a-6p,10a-5p,,985222.0,199149.0,Library,
27,CC120,Seward Park Library,192 East Broadway,Manhattan,10002,(212) 477-6770,Yes,No,OPEN,10a-8p,10a-8p,10a-8p,10a-8p,10a-5p,10a-5p,,987428.0,199577.0,Library,
28,CC361,Weinberg Neighborhood NSC,197 East Broadway ,Manhattan,10002,(646) 395-4270,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,987481.408223,199396.696401,Senior center,6th floor
29,CC123,Hamilton Fish Park Library,415 East Houston St,Manhattan,10002,(212) 673-2290,Yes,No,OPEN,10a-7p,11a-7p,10a-7p,11a-7p,10a-5p,10a-5p,,989954.557932,201509.875429,Library,
30,CC265,UJC Adult Luncheon Club NSC,15-17 Bialystoker Pl,Manhattan,10002,(212) 673-9328,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-3p,,,988876.99992,200069.999844,Senior center,
31,CC122,Tompkins Square Library,331 E 10 St,Manhattan,10009,(212) 228-4747,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-6p,10a-5p,,989659.0,204226.0,Library,
32,CC360,University Settlement NSC,189 Allen St,Manhattan,10002,(212) 473-8217,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,9a-1p,,987156.000082,202421.000063,Senior center,
33,CC264,John Paul II Friendship NSC,103 E 7 St,Manhattan,10009,(212) 673-7704,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,988486.000046,204065.000056,Senior center,
34,CC473,Sirovich NSC,331 E 12 St,Manhattan,10003,(646) 395-4534,Yes,No,OPEN,8a-8p,8a-8p,8a-8p,8a-8p,8a-8p,9a-3p,,988600.000146,205450.999909,Senior center,
35,CC474,Mott Street NSC,180 Mott St,Manhattan,10012,(212) 966-5460,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,985461.999861,201791.000011,Senior center,
36,CC263,Mulberry Street Library,10 Jersey St,Manhattan,10012,(212) 966-3424,Yes,No,OPEN,11a-7p,10a-7p,11a-7p,10a-7p,10a-5p,10a-5p,,985427.0,203065.0,Library,
